id,location,latitude,longitude,time_of_day,weather,road_type,traffic_density,accident_count,risk_level
1,Sitabuldi Junction,21.15184,79.07046,6,Cloudy,Junction,High,3,Medium
2,Wardha Road,21.08165,79.06447,23,Cloudy,Junction,Low,3,Medium
3,Hingna T Point,21.09802,78.96053,9,Clear,Ring Road,Low,4,Low
4,Chatrapati Square,21.10188,79.11147,13,Cloudy,Highway,Low,3,Low
5,Ravi Nagar,21.13081,79.07207,3,Clear,Urban,Medium,2,Medium
6,Dharampeth,21.11661,79.05063,15,Clear,City Road,Medium,8,Low
7,Civil Lines,21.13454,79.07744,8,Cloudy,Junction,Low,5,Low
8,Trimurti Nagar,21.12662,79.05643,23,Fog,City Road,Low,6,High
9,Pratap Nagar,21.13271,79.05595,9,Rain,Junction,High,4,Medium
10,Zero Mile,21.1306,79.07672,18,Clear,Ring Road,High,8,Medium
11,Itwari,21.16012,79.09735,19,Rain,Highway,Low,4,Medium
12,Sadar,21.13162,79.0751,16,Clear,Junction,Medium,5,Medium
13,Nandanvan,21.13143,79.10361,0,Clear,Junction,Medium,6,High
14,Mankapur,21.10385,79.05762,0,Clear,City Road,Medium,5,Medium
15,Nagpur Railway Stn,21.14811,79.08619,7,Rain,Ring Road,Low,4,Medium
16,Ambazari,21.14191,79.00334,1,Haze,Ring Road,Medium,6,Medium
17,Beltarodi,21.0502,79.01643,16,Clear,Flyover,Medium,0,Medium
18,Koradi,21.24976,78.98715,17,Rain,Highway,High,1,High
19,Butibori,20.97525,79.06179,23,Fog,Flyover,Medium,3,High
20,MIDC Hingna,21.09582,78.98708,0,Rain,City Road,Low,2,Medium
21,Sitabuldi Junction,21.16325,79.09604,13,Haze,Highway,Low,8,Medium
22,Wardha Road,21.10395,79.04546,7,Clear,Junction,Medium,3,Medium
23,Hingna T Point,21.10313,78.96144,21,Rain,Highway,High,10,High
24,Chatrapati Square,21.10913,79.10002,21,Rain,Junction,Low,4,High
25,Ravi Nagar,21.13234,79.06476,3,Cloudy,Junction,Medium,2,Medium
26,Dharampeth,21.11959,79.05375,4,Clear,Junction,Medium,3,Medium
27,Civil Lines,21.13681,79.07868,7,Haze,City Road,Medium,3,Low
28,Trimurti Nagar,21.15553,79.06028,4,Clear,Highway,High,1,High
29,Pratap Nagar,21.11513,79.06626,3,Clear,Highway,Medium,2,High
30,Zero Mile,21.15903,79.09264,4,Fog,City Road,High,7,High
31,Itwari,21.15056,79.115,0,Haze,Ring Road,Low,1,Medium
32,Sadar,21.14702,79.1,1,Clear,City Road,Medium,2,Medium
33,Nandanvan,21.11412,79.1361,3,Clear,Urban,High,7,Medium
34,Mankapur,21.13622,79.02365,19,Cloudy,Highway,High,1,Medium
35,Nagpur Railway Stn,21.13441,79.10285,6,Haze,Urban,Medium,2,Medium
36,Ambazari,21.14191,78.98334,15,Cloudy,Junction,Medium,2,Medium
37,Beltarodi,21.07325,79.04453,17,Haze,Urban,High,6,Medium
38,Koradi,21.24697,79.01625,21,Cloudy,Ring Road,High,4,Medium
39,Butibori,20.97113,79.04745,6,Rain,Highway,Medium,7,Medium
40,MIDC Hingna,21.09782,78.98302,11,Haze,City Road,Medium,3,Low
41,Sitabuldi Junction,21.15061,79.0793,14,Fog,Urban,Medium,3,Medium
42,Wardha Road,21.10255,79.06739,3,Rain,Highway,Medium,5,High
43,Hingna T Point,21.11242,78.99949,12,Haze,Flyover,High,5,Medium
44,Chatrapati Square,21.10585,79.07565,16,Rain,Urban,Medium,3,Medium
45,Ravi Nagar,21.12415,79.06187,22,Cloudy,Flyover,High,7,High
46,Dharampeth,21.11115,79.08021,1,Rain,Junction,Medium,8,High
47,Civil Lines,21.15004,79.10142,20,Fog,Flyover,High,5,High
48,Trimurti Nagar,21.14983,79.0419,22,Rain,Urban,High,4,High
49,Pratap Nagar,21.12997,79.05261,10,Rain,Highway,Medium,4,Medium
50,Zero Mile,21.14815,79.08898,17,Fog,Junction,High,2,High
51,Itwari,21.16773,79.08858,11,Clear,Highway,Medium,3,Medium
52,Sadar,21.13621,79.06662,14,Rain,Ring Road,Low,3,Low
53,Nandanvan,21.1108,79.11288,2,Cloudy,City Road,Medium,3,Medium
54,Mankapur,21.12337,79.04947,6,Clear,City Road,Low,4,Low
55,Nagpur Railway Stn,21.13539,79.06907,14,Fog,Highway,Low,4,Medium
56,Ambazari,21.14009,78.97137,5,Rain,City Road,High,2,High
57,Beltarodi,21.07892,79.04283,7,Fog,Ring Road,High,2,Medium
58,Koradi,21.2397,78.98459,1,Rain,City Road,Low,4,Medium
